analysis_period,gvkey,commodity,alpha,beta,p_value_beta,r_squared,spearman_corr,spearman_pval
Up to end_of_2010,21429,SN1 Comdty,0.8065082186935641,-1.2184689060704372e-05,1.2414034388703072e-26,0.3716843271980971,-0.8090320461511111,1.0499698620944195e-58
Up to end_of_2010,21431,SN1 Comdty,1.2090390835790772,-5.6192069119356424e-06,2.834032212610206e-14,0.20991680840276672,-0.4880623843619983,3.0076000495305995e-16
Up to end_of_2010,21440,SN1 Comdty,1.3903617794790504,1.3483850965920745e-05,2.9997755876316943e-05,0.17505924343034718,0.6446140417806563,3.1142836089759598e-12
Up to end_of_2010,21542,SN1 Comdty,0.6172001418000614,-1.9136915620851858e-05,1.4783477631983156e-34,0.5836762654191393,-0.8225825373733099,5.011494003178253e-44
Up to end_of_2010,21633,SN1 Comdty,0.06263056241483372,7.791851513299063e-07,7.660043994840151e-14,0.21697315457956778,0.5551095218793884,4.5150116838744285e-20
Up to end_of_2010,21808,SN1 Comdty,-0.005904031501420246,4.6552404695900834e-07,3.0365671545444186e-08,0.9443394613372333,0.8275932921488829,0.00047929378724835856
Up to end_of_2010,21825,SN1 Comdty,32.363563582717184,0.00018199077611813158,0.002648510933024666,0.03672073474786164,-0.11525156164397628,0.07233003863471163
Up to end_of_2010,22086,SN1 Comdty,0.03746640899886049,-3.166027723433706e-07,2.5826567481898963e-21,0.3500418843143902,-0.5618668437118393,5.901992572866919e-19
Up to end_of_2010,22134,SN1 Comdty,0.04617797781774631,1.9360035432584775e-07,0.2134166791323069,0.023356920149139926,0.16095596379397184,0.18977758374283688
Up to end_of_2010,22155,SN1 Comdty,0.02530455977980277,6.467711937782766e-08,0.00036597232282988327,0.052062063594394914,0.08547156367077578,0.18696098289228028
Up to end_of_2010,22447,SN1 Comdty,2019.5049660881846,0.006571289099231147,1.245110825375307e-06,0.13314978298264146,0.3891854844527812,2.014191456339235e-07
Up to end_of_2010,22583,SN1 Comdty,7.507984070346566,-0.0001280144038702126,1.9350704265954842e-47,0.5721731459229622,-0.8878401335102811,3.111595982474368e-85
Up to end_of_2010,22638,SN1 Comdty,2.71115911263328,2.6772122807147966e-05,4.145522070137877e-25,0.34909534748319226,0.6688660415358962,4.766975166656056e-34
Up to end_of_2010,22674,SN1 Comdty,13.03869503859166,-0.00010886973456889935,5.802230704728011e-18,0.2557507801183211,-0.7237523778580621,1.1944399867442125e-42
Up to end_of_2010,22741,SN1 Comdty,0.25413484622535787,1.7283119093802542e-06,6.237517849399668e-09,0.1299541244608281,-0.02601615899151451,0.6853280311967618
Up to end_of_2010,22815,SN1 Comdty,0.021097374829819868,-8.75020015481939e-08,0.22395605920060033,0.006423009392739432,-0.44718754528072396,8.312356538968654e-13
Up to end_of_2010,23077,SN1 Comdty,0.1402042320493248,-2.2358414576498977e-06,4.817474942600152e-22,0.3883330978747892,-0.8191070671937043,9.75293846093649e-48
Up to end_of_2010,23084,SN1 Comdty,10.451710054773839,0.00010999280411943106,3.8472374418804235e-58,0.6405424484801019,0.6893131792978576,2.7787357977365044e-37
Up to end_of_2010,23086,SN1 Comdty,-0.1696552167489067,0.00024872342871483074,4.0747906112724333e-97,0.8230012815656991,0.851899382544292,4.988436546117678e-73
Up to end_of_2010,23147,SN1 Comdty,0.16656081244492899,-1.6818748877677926e-06,0.00046953822171974427,0.10850603525899516,-0.5737950274211009,6.934556005398321e-11
Up to end_of_2010,23224,SN1 Comdty,9.256042307179086,-0.00012188551754885044,5.789057955389199e-29,0.38981687833511935,-0.8222342801285715,7.183724839107592e-64
Up to end_of_2010,23225,SN1 Comdty,0.7856220872935882,-2.3802120399391497e-06,0.00026203487859836395,0.052001254285272136,-0.3336843368214583,5.728243719889018e-08
Up to end_of_2010,23238,SN1 Comdty,7.562967267128718,6.381473311806717e-05,6.782295026454913e-09,0.12457983575564902,0.2737230397798304,9.228005267398988e-06
