Commodity,Date,Open
CL1 Comdty,10/03/2011,104.45
CL1 Comdty,11/03/2011,102.64
CL1 Comdty,14/03/2011,100.31
CL1 Comdty,15/03/2011,101.86
CL1 Comdty,16/03/2011,97.4
CL1 Comdty,17/03/2011,98.1
CL1 Comdty,18/03/2011,101.76
CL1 Comdty,21/03/2011,102.12
CL1 Comdty,22/03/2011,102.1
CL1 Comdty,23/03/2011,104.85
CL1 Comdty,24/03/2011,105.52
CL1 Comdty,25/03/2011,105.46
CL1 Comdty,28/03/2011,105.43
CL1 Comdty,29/03/2011,103.94
CL1 Comdty,30/03/2011,104.45
CL1 Comdty,31/03/2011,104.31
CL1 Comdty,01/04/2011,106.62
CL1 Comdty,04/04/2011,108.29
CL1 Comdty,05/04/2011,108.2
CL1 Comdty,06/04/2011,107.99
CL1 Comdty,07/04/2011,108.67
CL1 Comdty,08/04/2011,110.32
CL1 Comdty,11/04/2011,113.28
CL1 Comdty,12/04/2011,108.97
CL1 Comdty,13/04/2011,106.02
CL1 Comdty,14/04/2011,107.32
CL1 Comdty,15/04/2011,108.45
CL1 Comdty,18/04/2011,109.43
CL1 Comdty,19/04/2011,107.52
CL1 Comdty,20/04/2011,108.45
CL1 Comdty,21/04/2011,111.37
CL1 Comdty,25/04/2011,112.34
CL1 Comdty,26/04/2011,112.15
CL1 Comdty,27/04/2011,111.89
CL1 Comdty,28/04/2011,113.13
CL1 Comdty,29/04/2011,112.82
CL1 Comdty,02/05/2011,113.89
CL1 Comdty,03/05/2011,112.98
CL1 Comdty,04/05/2011,110.68
CL1 Comdty,05/05/2011,108.78
CL1 Comdty,06/05/2011,99.76
CL1 Comdty,09/05/2011,98.11
CL1 Comdty,10/05/2011,102.44
CL1 Comdty,11/05/2011,103.69
CL1 Comdty,12/05/2011,98.59
CL1 Comdty,13/05/2011,98.81
CL1 Comdty,16/05/2011,99.36
CL1 Comdty,17/05/2011,96.98
CL1 Comdty,18/05/2011,97.57
CL1 Comdty,19/05/2011,99.76
CL1 Comdty,20/05/2011,98.6
CL1 Comdty,23/05/2011,99.68
CL1 Comdty,24/05/2011,97.54
CL1 Comdty,25/05/2011,99.27
CL1 Comdty,26/05/2011,101.24
CL1 Comdty,27/05/2011,100.16
CL1 Comdty,31/05/2011,100.69
CL1 Comdty,01/06/2011,102.68
CL1 Comdty,02/06/2011,99.79
CL1 Comdty,03/06/2011,100.87
CL1 Comdty,06/06/2011,100.42
CL1 Comdty,07/06/2011,98.82
CL1 Comdty,08/06/2011,99.58
