z_score,stock,sector,fundamental_z_score,economic_z_score,fundamental_factors_used,economic_factors_used,total_factors_used
-0.06828742881317214,4839,251020,0.014961440008564926,-0.1515362976349092,14,15,29
-0.06841499181816608,31368,401010,,-0.06841499181816608,0,15,15
-0.06841740251744897,7163,402030,0.015137762059804426,-0.1519725670947024,14,15,29
-0.06852570253626275,5116,251010,0.015956608889094222,-0.15300801396161973,14,15,29
-0.06873627482249166,4598,203010,0.015051139872615927,-0.15252368951759923,14,15,29
-0.06886531789591782,8007,401010,,-0.06886531789591782,0,15,15
-0.06901012722225096,38927,351030,0.014061054262011109,-0.152081308706513,14,15,29
-0.06906619363194229,1659,301010,0.015257172459430545,-0.1533895597233151,14,15,29
-0.06981510731331017,31460,255040,,-0.06981510731331017,0,15,15
-0.0701783458026458,20430,402020,,-0.0701783458026458,0,15,15
-0.07064181388296166,7257,352020,0.015299027230943911,-0.15658265499686724,14,15,29
-0.07083641694185062,61356,452030,,-0.07083641694185062,0,15,15
-0.07175097880409384,30259,253010,0.0191224685808059,-0.1626244261889936,13,15,28
-0.07179862469757937,16889,401010,,-0.07179862469757937,0,15,15
-0.07180907385442953,4608,201060,0.019159466510920858,-0.1627776142197799,13,15,28
-0.07217674107147974,29241,452010,0.0121359044887944,-0.15648938663175388,14,15,29
-0.07228341736495354,22815,452030,0.013580523899199413,-0.1581473586291065,14,15,29
-0.07325383297953299,25937,352020,0.02061750921172153,-0.1671251751707875,12,15,27
-0.07336794391826358,9273,151040,0.01916517198700386,-0.165901059823531,13,15,28
-0.07351439855441569,5600,203040,,-0.07351439855441569,0,15,15
-0.0736457296673842,18675,255040,0.015244284176186245,-0.16253574351095465,14,15,29
-0.07370415209417162,20232,452030,,-0.07370415209417162,0,15,15
-0.07384052062805514,28191,253010,,-0.07384052062805514,0,15,15
-0.07431916525816912,29984,601025,,-0.07431916525816912,0,15,15
-0.07435616596078655,10735,201060,,-0.07435616596078655,0,15,15
-0.07648802786462275,11550,551030,0.019116824076684955,-0.17209287980593044,13,15,28
-0.07693735304170493,31673,351020,0.018999832137447395,-0.17287453822085727,13,15,28
-0.07701406697707112,31251,402040,,-0.07701406697707112,0,15,15
-0.07715164800333736,41818,351010,0.0191381055079806,-0.1734414015146553,13,15,28
-0.07722433573439602,13562,601040,,-0.07722433573439602,0,15,15
-0.07748190150847802,5439,101010,0.01915605244773635,-0.17411985546469239,13,15,28
-0.07808556473390306,2285,201010,0.019171832002767362,-0.1753429614705735,13,15,28
-0.07815606843197756,4367,101010,,-0.07815606843197756,0,15,15
-0.07831620293739615,5783,203040,0.019094932511074338,-0.17572733838586663,13,15,28
-0.07851700092762212,3238,401010,,-0.07851700092762212,0,15,15
-0.07877306771749895,63892,101010,,-0.07877306771749895,0,15,15
-0.07878214844479291,4384,451030,,-0.07878214844479291,0,15,15
-0.07945867752087535,3007,253010,0.015039293701976573,-0.17395664874372727,14,15,29
-0.07976194573930356,4494,203010,0.019168327394280912,-0.17869221887288803,13,15,28
-0.07988079070723524,16781,401010,,-0.07988079070723524,0,15,15
-0.08043231823533323,63739,253010,0.01785442671850291,-0.17871906318916936,14,15,29
-0.08045042380204506,160173,402040,,-0.08045042380204506,0,15,15
-0.08062997318615442,25536,303010,0.01582575643214619,-0.17708570280445504,14,15,29
-0.08073893135530955,28323,601070,,-0.08073893135530955,0,15,15
-0.08267880363151868,20935,403010,0.01543552921419223,-0.18079313647722958,14,15,29
-0.08274938088076672,5878,201060,0.015555337045645991,-0.18105409880717943,14,15,29
-0.08336878862956398,37338,352030,0.023385232582495703,-0.19012280984162366,13,15,28
-0.08379773313141525,27576,302020,0.015127988485053152,-0.18272345474788365,14,15,29
-0.0845492778923048,2960,351020,0.016944920210789034,-0.18604347599539864,14,15,29
-0.08494703459596838,4881,201060,0.019283969803371704,-0.18917803899530847,13,15,28
-0.08505074053483881,30004,601060,,-0.08505074053483881,0,15,15
-0.085677112034106,64306,601040,,-0.085677112034106,0,15,15
-0.08708924789857682,10983,201010,0.019165960840061332,-0.19334445663721497,13,15,28
-0.08711695017138549,16549,401010,,-0.08711695017138549,0,15,15
-0.08781902277868475,9890,551020,,-0.08781902277868475,0,15,15
-0.08788310383061829,31774,403010,,-0.08788310383061829,0,15,15
-0.08802004549639965,39103,402010,,-0.08802004549639965,0,15,15
-0.08838357527631016,28397,253010,0.015322758779380071,-0.1920899093320004,14,15,29
-0.08873535591584614,5071,302020,0.01517536564182205,-0.1926460774735143,14,15,29
-0.08909420052561999,10519,201010,,-0.08909420052561999,0,15,15
-0.08950845440795054,32574,255040,,-0.08950845440795054,0,15,15
-0.08967979474200094,31252,101020,0.019104432948971732,-0.19846402243297362,13,15,28
-0.09049251487063995,23432,402030,,-0.09049251487063995,0,15,15
-0.09136927996145003,65886,402030,0.019067093963804918,-0.20180565388670496,13,15,28
-0.09154852757833634,5492,201010,0.019152935193025574,-0.20224999034969826,13,15,28
-0.09166606104386725,5680,255040,0.01571489655487666,-0.19904701864261115,14,15,29
-0.0920118401930505,25895,402010,,-0.0920118401930505,0,15,15
-0.0924806808441318,18494,601060,,-0.0924806808441318,0,15,15
-0.09258855062585505,9225,202010,0.015261332876271138,-0.20043843412798124,14,15,29
-0.09269768343381585,27960,201060,0.014893533277413211,-0.2002889001450449,14,15,29
-0.0928160193733232,9466,502010,0.013694713099693284,-0.1993267518463397,14,15,29
-0.09296501967650021,50688,202020,,-0.09296501967650021,0,15,15
-0.0931456543594008,16832,401010,,-0.0931456543594008,0,15,15
-0.09366439753367259,16101,352010,0.015085853946540783,-0.20241464901388595,14,15,29
-0.09420500965347242,11012,151010,0.01553351330356519,-0.20394353261051004,14,15,29
-0.09474331669720677,19730,202020,,-0.09474331669720677,0,15,15
-0.09490061636256181,147988,201030,0.01901468295113163,-0.20881591567625524,13,15,28
-0.09706002908601717,1661,101010,,-0.09706002908601717,0,15,15
-0.09727546924574657,15417,403010,0.01915029250621333,-0.21370123099770647,13,15,28
-0.09738718494175921,7985,201010,0.01688280954216708,-0.21165717942568552,13,15,28
-0.09795735470696416,14253,401010,,-0.09795735470696416,0,15,15
-0.09796652393396629,12615,252010,,-0.09796652393396629,0,15,15
-0.09926322728349782,11842,401010,,-0.09926322728349782,0,15,15
-0.0997592382480008,28069,402040,,-0.0997592382480008,0,15,15
-0.09987627662272003,21019,402030,,-0.09987627662272003,0,15,15
-0.10237455300541484,5496,202010,0.019035447746133673,-0.22378455375696335,13,15,28
-0.10261686044244842,5643,253010,0.01915024302291541,-0.22438396390781223,13,15,28
-0.10421741051025474,16384,402010,,-0.10421741051025474,0,15,15
-0.10467094291413978,24601,201020,0.019167491586516927,-0.2285093774147965,13,15,28
-0.10533817027165653,21633,401010,,-0.10533817027165653,0,15,15
-0.10555301116334488,13041,401010,,-0.10555301116334488,0,15,15
-0.10582087244816576,5149,601070,,-0.10582087244816576,0,15,15
-0.10696488646499769,5073,251020,0.014923456365864297,-0.22885322929585966,14,15,29
-0.10709712664871317,34953,403010,,-0.10709712664871317,0,15,15
-0.10730247460072716,66731,402030,0.01586081486848965,-0.23046576406994396,14,15,29
-0.1074492363506899,61567,303020,0.014633969825934706,-0.2295324425273145,14,15,29
-0.10751205758910835,23245,252010,,-0.10751205758910835,0,15,15
-0.10756881386803961,2991,101020,0.01893970378615174,-0.23407733152223095,13,15,28
-0.10757330708309522,13580,601050,,-0.10757330708309522,0,15,15
-0.10937660524630304,25173,401010,,-0.10937660524630304,0,15,15
-0.11038203696132161,36494,402010,0.015189199757425517,-0.23595327368006874,14,15,29
-0.11138429388796274,43198,402010,,-0.11138429388796274,0,15,15
-0.11174935097508162,28629,601060,,-0.11174935097508162,0,15,15
-0.1121096295345136,24232,401010,,-0.1121096295345136,0,15,15
-0.11275616224156106,5597,302020,0.015209895969049016,-0.24072222045217112,14,15,29
-0.11298212020841535,28349,403010,,-0.11298212020841535,0,15,15
-0.11332755449327887,30298,601040,,-0.11332755449327887,0,15,15
-0.11336268891921848,5608,201010,0.01913484188878811,-0.24586021972722508,13,15,28
-0.11484304505393758,34443,151010,,-0.11484304505393758,0,15,15
-0.11531211207398574,16981,401010,,-0.11531211207398574,0,15,15
-0.11952446675003901,30637,601060,,-0.11952446675003901,0,15,15
-0.11972155162766043,20019,401010,,-0.11972155162766043,0,15,15
-0.11998548854685431,34410,352010,,-0.11998548854685431,0,15,15
-0.12187721068348847,33133,352010,0.0191625748977039,-0.26291699626468085,13,15,28
-0.12288545386532992,16705,401010,,-0.12288545386532992,0,15,15
-0.12392779134212335,17245,401010,,-0.12392779134212335,0,15,15
-0.12393491705935125,3026,303010,0.01912407141964205,-0.26699390553834457,13,15,28
-0.12446429736633097,33152,451030,0.015010389425750604,-0.26393898415841255,14,15,29
-0.12491097724632612,16821,401010,,-0.12491097724632612,0,15,15
-0.12519230529908015,66354,601010,,-0.12519230529908015,0,15,15
-0.12687462477079647,4988,502010,0.015140138037712293,-0.26888938757930525,14,15,29
-0.12862867646484927,4737,401010,,-0.12862867646484927,0,15,15
-0.129283735528959,14891,302010,0.015334289320214942,-0.27390176037813296,14,15,29
-0.13035557900867986,30170,452030,,-0.13035557900867986,0,15,15
-0.13073849268677706,18624,351020,0.014376584056271728,-0.27585356942982586,14,15,29
-0.1320180510406793,5572,252010,,-0.1320180510406793,0,15,15
-0.1331406081746232,27841,151040,,-0.1331406081746232,0,15,15
-0.1335589785447322,136265,401010,,-0.1335589785447322,0,15,15
-0.1340517670516918,61380,403010,,-0.1340517670516918,0,15,15
-0.13597549814105628,27333,251010,,-0.13597549814105628,0,15,15
-0.13617300363869478,11770,402030,,-0.13617300363869478,0,15,15
-0.13669018125511964,19927,402030,,-0.13669018125511964,0,15,15
-0.14051807035253044,33684,601010,,-0.14051807035253044,0,15,15
-0.1408322129366985,16721,502020,0.014985908580315234,-0.29665033445371225,14,15,29
-0.14617530646419316,45169,201040,,-0.14617530646419316,0,15,15
-0.1504291926655226,1076,402020,,-0.1504291926655226,0,15,15
-0.15535030515174938,31477,352030,0.018690382725487936,-0.3293909930289867,13,15,28
-0.16013472891784725,5786,401010,,-0.16013472891784725,0,15,15
