EcoSeriesID,PeriodDate,Series_Value,DSMnemonic
594,2015-03-01,102.254,USI76...F
594,2017-09-01,102.28027825,USI76...F
594,2015-03-01,102.254,USI76...F
594,2013-11-01,107.04568528,USI76...F
594,2014-01-01,107.777,USI76...F
594,2016-04-01,96.406091371,USI76...F
594,2010-05-01,99.9797,USI76...F
594,2011-01-01,104.853,USI76...F
594,2013-07-01,107.69543147,USI76...F
594,2020-11-01,103.6248919,USI76...F
594,2013-05-01,107.939,USI76...F
594,2017-06-01,98.76142132,USI76...F
594,2016-05-01,97.461928934,USI76...F
594,2017-01-01,98.7614,USI76...F
594,2010-11-01,118.456,USI76...F
594,2013-07-01,124.07,USI76...F
594,2011-02-01,106.23350254,USI76...F
594,2022-03-01,129.13705584,USI76...F
594,2013-03-01,109.15736041,USI76...F
594,2020-08-01,99.16751269,USI76...F
594,2016-10-01,98.0305,USI76...F
594,2016-02-01,98.2464373,USI76...F
594,2011-03-01,107.777,USI76...F
594,2014-11-01,106.22447829,USI76...F
594,2014-02-01,124.725,USI76...F
594,2015-01-01,103.53525099,USI76...F
594,2014-10-01,106.071,USI76...F
594,2014-11-01,105.015,USI76...F
594,2011-05-01,109.076,USI76...F
594,2020-04-01,101.29422824,USI76...F
594,2017-12-01,101.27918782,USI76...F
594,2018-02-01,102.25380711,USI76...F
594,2017-12-01,102.63884189,USI76...F
594,2013-09-01,123.883,USI76...F
594,2011-01-01,120.608,USI76...F
594,2014-02-01,108.46550103,USI76...F
594,2016-06-01,98.192893401,USI76...F
594,2012-08-01,124.819,USI76...F
594,2016-08-01,99.680691859,USI76...F
594,2010-09-01,100.467,USI76...F
594,2019-03-01,103.14720812,USI76...F
594,2019-10-01,101.60406091,USI76...F
594,2014-03-01,109.563,USI76...F
594,2010-08-01,99.8985,USI76...F
594,2012-09-01,125.848,USI76...F
594,2013-12-01,107.452,USI76...F
594,2011-12-01,107.2893401,USI76...F
594,2012-02-01,108.10152284,USI76...F
594,2010-07-01,99.0863,USI76...F
594,2020-12-01,101.92893401,USI76...F
594,2013-08-01,107.12690355,USI76...F
594,2014-06-01,108.02,USI76...F
594,2010-02-01,112.561,USI76...F
594,2018-06-01,104.04060914,USI76...F
594,2017-11-01,101.19796954,USI76...F
594,2013-11-01,107.046,USI76...F
594,2023-08-01,121.17766497,USI76...F
594,2019-04-01,103.2284264,USI76...F
594,2019-08-01,101.92893401,USI76...F
594,2018-11-01,103.06598985,USI76...F
594,2015-08-01,101.74243279,USI76...F
594,2017-02-01,99.0863,USI76...F
594,2019-01-01,101.76649746,USI76...F
594,2012-12-01,108.508,USI76...F
594,2013-11-01,107.046,USI76...F
594,2011-08-01,109.32,USI76...F
594,2019-02-01,102.41624365,USI76...F
594,2012-08-01,108.34517766,USI76...F
594,2013-01-01,108.914,USI76...F
594,2011-02-01,122.386,USI76...F
594,2012-10-01,109.32,USI76...F
594,2015-06-01,101.76649746,USI76...F
594,2015-07-01,101.523,USI76...F
594,2010-07-01,99.0863,USI76...F
594,2013-09-01,108.37586012,USI76...F
594,2020-05-01,96,USI76...F
594,2015-08-01,99.898477157,USI76...F
594,2011-09-01,109.88832487,USI76...F
594,2014-03-01,108.82406467,USI76...F
594,2012-04-01,109.401,USI76...F
594,2013-10-01,123.322,USI76...F
594,2019-11-01,101.68527919,USI76...F
594,2019-09-01,101.68527919,USI76...F
594,2012-07-01,107.371,USI76...F
594,2015-10-01,99.086294416,USI76...F
594,2023-03-01,122.72081218,USI76...F
594,2018-11-01,103.06598985,USI76...F
594,2018-07-01,103.47208122,USI76...F
594,2018-06-01,103.95939086,USI76...F
594,2014-07-01,108.64478285,USI76...F
594,2015-09-01,101.38386915,USI76...F
594,2014-02-01,125.006,USI76...F
594,2012-12-01,124.912,USI76...F
594,2020-02-01,104.34201918,USI76...F
594,2013-01-01,108.91370558,USI76...F
594,2015-03-01,103.71453281,USI76...F
594,2022-11-01,126.29441624,USI76...F
594,2010-07-01,99.086294416,USI76...F
594,2017-01-01,100.30817823,USI76...F
594,2015-09-01,99.329949239,USI76...F
594,2019-05-01,105.32806919,USI76...F
594,2010-04-01,114.62,USI76...F
594,2011-02-01,106.234,USI76...F
594,2014-11-01,105.17766497,USI76...F
594,2016-03-01,95.9188,USI76...F
594,2013-03-01,109.157,USI76...F
594,2017-02-01,99.0863,USI76...F
594,2013-02-01,109.72588832,USI76...F
594,2015-09-01,101.38386915,USI76...F
594,2015-12-01,97.2995,USI76...F
594,2014-07-01,108.10152284,USI76...F
594,2016-02-01,96,USI76...F
594,2011-12-01,123.602,USI76...F
594,2017-05-01,98.842639594,USI76...F
594,2011-02-01,106.234,USI76...F
594,2015-06-01,103.35596917,USI76...F
594,2021-01-01,106.04519647,USI76...F
594,2014-01-01,107.77664975,USI76...F
594,2014-09-01,108.01729648,USI76...F
594,2014-09-01,107.127,USI76...F
594,2014-12-01,105.14878737,USI76...F
594,2010-02-01,97.7056,USI76...F
594,2012-12-01,108.508,USI76...F
594,2017-08-01,99.817258883,USI76...F
594,2014-10-01,106.15228426,USI76...F
594,2012-10-01,109.32,USI76...F
594,2010-10-01,101.279,USI76...F
594,2018-11-01,105.05914646,USI76...F
594,2020-01-01,104.96950555,USI76...F
594,2020-12-01,104.521301,USI76...F
594,2019-09-01,104.61094191,USI76...F
594,2019-01-01,103.98345554,USI76...F
594,2016-06-01,98.1929,USI76...F
594,2019-07-01,105.05914646,USI76...F
594,2014-09-01,107.046,USI76...F
594,2014-07-01,108.102,USI76...F
594,2013-12-01,108.10693739,USI76...F
594,2010-01-01,98.0305,USI76...F
594,2016-07-01,98.3553,USI76...F
594,2018-12-01,102.41624365,USI76...F
594,2013-04-01,108.508,USI76...F
594,2019-06-01,102.33502538,USI76...F
594,2014-10-01,106.152,USI76...F
594,2020-04-01,96,USI76...F
594,2013-12-01,107.452,USI76...F
594,2011-11-01,107.77664975,USI76...F
594,2014-03-01,126.035,USI76...F
594,2015-03-01,102.25380711,USI76...F
594,2022-07-01,130.35532995,USI76...F
594,2014-01-01,107.777,USI76...F
594,2011-06-01,125.848,USI76...F
594,2013-09-01,107.533,USI76...F
594,2016-12-01,100.12889641,USI76...F
594,2019-12-01,104.25237827,USI76...F
594,2010-05-01,115.275,USI76...F
594,2012-07-01,107.37055838,USI76...F
594,2011-05-01,109.07614213,USI76...F
594,2017-12-01,101.27918782,USI76...F
594,2016-08-01,97.5431,USI76...F
594,2014-04-01,108.46550103,USI76...F
594,2016-10-01,98.0305,USI76...F
594,2016-05-01,99.501410039,USI76...F
594,2013-06-01,107.858,USI76...F
594,2014-03-01,108.82406467,USI76...F
594,2016-11-01,98.1117,USI76...F
594,2012-04-01,126.035,USI76...F
594,2015-10-01,101.02530551,USI76...F
594,2018-05-01,103.79695431,USI76...F
594,2014-01-01,123.977,USI76...F
594,2014-02-01,108.589,USI76...F
594,2017-07-01,99.248730964,USI76...F
594,2013-08-01,108.01729648,USI76...F
594,2015-07-01,102.90776462,USI76...F
594,2020-01-01,104.96950555,USI76...F
594,2017-04-01,99.4112,USI76...F
594,2015-10-01,99.086294416,USI76...F
594,2015-06-01,101.766,USI76...F
594,2017-01-01,98.7614,USI76...F
594,2012-01-01,123.789,USI76...F
594,2010-07-01,114.152,USI76...F
594,2018-03-01,102.5786802,USI76...F
594,2017-04-01,99.3299,USI76...F
594,2011-08-01,126.129,USI76...F
594,2010-03-01,98.436548223,USI76...F
594,2016-06-01,98.1117,USI76...F
594,2011-01-01,104.853,USI76...F
594,2011-04-01,108.67,USI76...F
594,2012-12-01,125.006,USI76...F
594,2017-10-01,100.7106599,USI76...F
594,2015-09-01,99.3299,USI76...F
594,2016-05-01,97.4619,USI76...F
594,2011-02-01,122.386,USI76...F
594,2012-11-01,108.67,USI76...F
594,2018-04-01,104.61094191,USI76...F
594,2013-08-01,107.127,USI76...F
594,2016-10-01,98.0305,USI76...F
594,2017-01-01,98.7614,USI76...F
594,2013-12-01,107.45177665,USI76...F
594,2014-12-01,104.041,USI76...F
594,2016-03-01,98.42571912,USI76...F
594,2019-06-01,102.25380711,USI76...F
594,2011-08-01,125.942,USI76...F
594,2017-03-01,100.66674187,USI76...F
594,2010-03-01,113.029,USI76...F
594,2011-10-01,123.977,USI76...F
594,2010-10-01,101.279,USI76...F
594,2010-05-01,115.181,USI76...F
594,2017-07-01,100.75638278,USI76...F
594,2014-12-01,104.203,USI76...F
594,2014-02-01,108.58883249,USI76...F
594,2016-08-01,97.5431,USI76...F
594,2011-01-01,120.795,USI76...F
594,2011-11-01,124.164,USI76...F
594,2018-01-01,103.35596917,USI76...F
594,2015-12-01,99.41176913,USI76...F
594,2020-03-01,99.492385787,USI76...F
594,2016-09-01,97.868020305,USI76...F
594,2015-12-01,99.41176913,USI76...F
594,2012-03-01,108.914,USI76...F
594,2018-03-01,102.5786802,USI76...F
594,2021-10-01,118.17258883,USI76...F
594,2013-06-01,124.164,USI76...F
594,2011-06-01,125.942,USI76...F
594,2010-05-01,115.462,USI76...F
594,2013-04-01,108.50761421,USI76...F
594,2016-04-01,96.4061,USI76...F
594,2014-09-01,107.12690355,USI76...F
594,2018-04-01,104.61094191,USI76...F
594,2014-10-01,106.152,USI76...F
594,2021-08-01,115.65482234,USI76...F
594,2020-07-01,102.45956007,USI76...F
594,2012-02-01,124.538,USI76...F
594,2014-08-01,107.533,USI76...F
594,2022-12-01,122.47715736,USI76...F
594,2017-06-01,100.57710096,USI76...F
594,2017-01-01,98.76142132,USI76...F
594,2014-11-01,105.178,USI76...F
594,2016-04-01,98.78428276,USI76...F
594,2011-07-01,108.832,USI76...F
594,2018-04-01,103.06598985,USI76...F
594,2010-06-01,99.2487,USI76...F
594,2012-08-01,108.345,USI76...F
594,2013-05-01,107.93908629,USI76...F
594,2013-01-01,125.38,USI76...F
594,2021-09-01,115.97969543,USI76...F
594,2011-04-01,108.67005076,USI76...F
594,2013-03-01,109.157,USI76...F
594,2013-11-01,107.04568528,USI76...F
594,2016-01-01,96.4061,USI76...F
594,2019-04-01,103.2284264,USI76...F
594,2015-02-01,102.25380711,USI76...F
594,2010-11-01,102.822,USI76...F
594,2013-07-01,108.01729648,USI76...F
594,2017-03-01,99.16751269,USI76...F
594,2010-12-01,119.298,USI76...F
594,2019-03-01,103.14720812,USI76...F
594,2017-09-01,100.62944162,USI76...F
594,2010-10-01,116.678,USI76...F
594,2017-02-01,99.086294416,USI76...F
594,2019-10-01,104.43166009,USI76...F
594,2014-09-01,107.127,USI76...F
594,2018-01-01,102.01015228,USI76...F
594,2014-12-01,104.20304569,USI76...F
594,2012-07-01,107.371,USI76...F
594,2019-04-01,105.4177101,USI76...F
594,2016-02-01,96.0812,USI76...F
594,2015-12-01,97.299492386,USI76...F
594,2015-11-01,98.5178,USI76...F
594,2016-06-01,99.949614589,USI76...F
594,2010-12-01,119.205,USI76...F
594,2016-10-01,98.1117,USI76...F
594,2013-02-01,109.72588832,USI76...F
594,2017-01-01,98.76142132,USI76...F
594,2010-12-01,103.553,USI76...F
594,2010-11-01,102.822,USI76...F
594,2012-05-01,125.38,USI76...F
594,2017-02-01,100.48746005,USI76...F
594,2014-12-01,105.14878737,USI76...F
594,2014-04-01,108.426,USI76...F
594,2015-04-01,101.604,USI76...F
594,2015-02-01,103.71453281,USI76...F
594,2014-06-01,108.28621921,USI76...F
594,2019-07-01,105.05914646,USI76...F
594,2016-08-01,97.543147208,USI76...F
594,2014-09-01,107.289,USI76...F
594,2017-01-01,98.6802,USI76...F
594,2015-12-01,97.2995,USI76...F
594,2014-02-01,108.46550103,USI76...F
594,2017-06-01,100.57710096,USI76...F
594,2018-07-01,105.4177101,USI76...F
594,2013-07-01,124.164,USI76...F
594,2021-04-01,110.52724196,USI76...F
594,2011-08-01,109.31979695,USI76...F
594,2020-10-01,103.35596917,USI76...F
594,2015-02-01,102.173,USI76...F
594,2014-03-01,109.56345178,USI76...F
594,2019-07-01,102.49746193,USI76...F
594,2010-09-01,100.467,USI76...F
594,2019-05-01,102.98477157,USI76...F
594,2014-07-01,108.102,USI76...F
594,2016-03-01,95.9188,USI76...F
594,2014-05-01,108.589,USI76...F
594,2014-05-01,108.58883249,USI76...F
594,2019-02-01,104.61094191,USI76...F
594,2013-06-01,124.257,USI76...F
594,2012-09-01,109.239,USI76...F
594,2017-05-01,98.842639594,USI76...F
594,2017-03-01,99.1675,USI76...F
594,2019-03-01,105.05914646,USI76...F
594,2018-04-01,103.06598985,USI76...F
594,2011-12-01,107.289,USI76...F
594,2013-10-01,106.88324873,USI76...F
594,2018-02-01,102.17258883,USI76...F
594,2010-08-01,115.088,USI76...F
594,2014-10-01,106.152,USI76...F
594,2015-02-01,102.254,USI76...F
594,2015-08-01,99.898477157,USI76...F
594,2010-04-01,114.807,USI76...F
594,2013-12-01,107.452,USI76...F
594,2016-02-01,96,USI76...F
594,2013-09-01,107.53299492,USI76...F
594,2015-11-01,100.48746005,USI76...F
594,2018-09-01,103.39086294,USI76...F
594,2013-02-01,109.726,USI76...F
594,2014-06-01,108.28621921,USI76...F
594,2020-02-01,104.34201918,USI76...F
594,2013-11-01,123.228,USI76...F
594,2020-07-01,98.680203046,USI76...F
594,2020-01-01,101.52284264,USI76...F
594,2018-12-01,103.98345554,USI76...F
594,2012-11-01,108.67005076,USI76...F
594,2014-03-01,109.56345178,USI76...F
594,2019-03-01,105.05914646,USI76...F
594,2013-08-01,123.415,USI76...F
594,2015-11-01,98.3553,USI76...F
594,2018-06-01,104.04060914,USI76...F
594,2014-07-01,108.102,USI76...F
594,2014-08-01,107.53299492,USI76...F
